CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
0,I,2009,0.96,6
0,I,2010,0.962,6
0,I,2011,0.966,6
0,I,2012,0.959,6
0,I,2013,0.964,6
0,I,2014,0.976,6
0,I,2015,0.98,6
0,I,2016,0.982,6
0,I,2017,0.986,6
0,I,2018,0.986,6
0,I,2019,0.987,6
1,I,2009,0.806,6
1,I,2010,0.867,6
1,I,2011,0.894,6
1,I,2012,0.854,6
1,I,2013,0.87,6
1,I,2014,0.918,6
1,I,2015,0.942,6
1,I,2016,0.956,6
1,I,2017,0.968,6
1,I,2018,0.974,6
1,I,2019,0.978,6
2,I,2009,0,6
2,I,2010,0,6
2,I,2011,0,6
2,I,2012,0,6
2,I,2013,0,6
2,I,2014,0,6
2,I,2015,0,6
2,I,2016,0,6
2,I,2017,0,6
2,I,2018,0,6
2,I,2019,0,6
3,I,2009,0.938,6
3,I,2010,0.94,6
3,I,2011,0.948,6
3,I,2012,0.941,6
3,I,2013,0.952,6
3,I,2014,0.966,6
3,I,2015,0.974,6
3,I,2016,0.978,6
3,I,2017,0.982,6
3,I,2018,0.983,6
3,I,2019,0.984,6
4,I,2009,0.989,6
4,I,2010,0.994,6
4,I,2011,0.994,6
4,I,2012,0.992,6
4,I,2013,0.995,6
4,I,2014,0.992,6
4,I,2015,0.994,6
4,I,2016,0.996,6
4,I,2017,0.997,6
4,I,2018,0.997,6
4,I,2019,0.997,6
5,I,2009,0.96,6
5,I,2010,0.962,6
5,I,2011,0.966,6
5,I,2012,0.959,6
5,I,2013,0.964,6
5,I,2014,0.976,6
5,I,2015,0.98,6
5,I,2016,0.982,6
5,I,2017,0.986,6
5,I,2018,0.986,6
5,I,2019,0.987,6
6,I,2009,0.962,6
6,I,2010,0.962,6
6,I,2011,0.96,6
6,I,2012,0.94,6
6,I,2013,0.942,6
6,I,2014,0.966,6
6,I,2015,0.97,6
6,I,2016,0.968,6
6,I,2017,0.974,6
6,I,2018,0.974,6
6,I,2019,0.974,6
7,I,2009,0.97,6
7,I,2010,0.974,6
7,I,2011,0.976,6
7,I,2012,0.974,6
7,I,2013,0.977,6
7,I,2014,0.984,6
7,I,2015,0.989,6
7,I,2016,0.99,6
7,I,2017,0.992,6
7,I,2018,0.992,6
7,I,2019,0.992,6
8,I,2009,0.962,6
8,I,2010,0.965,6
8,I,2011,0.967,6
8,I,2012,0.962,6
8,I,2013,0.965,6
8,I,2014,0.974,6
8,I,2015,0.978,6
8,I,2016,0.98,6
8,I,2017,0.984,6
8,I,2018,0.982,6
8,I,2019,0.983,6
9,I,2009,0.96,6
9,I,2010,0.962,6
9,I,2011,0.966,6
9,I,2012,0.959,6
9,I,2013,0.964,6
9,I,2014,0.976,6
9,I,2015,0.98,6
9,I,2016,0.982,6
9,I,2017,0.986,6
9,I,2018,0.986,6
9,I,2019,0.987,6
10,I,2009,0.978,6
10,I,2010,0.983,6
10,I,2011,0.987,6
10,I,2012,0.976,6
10,I,2013,0.982,6
10,I,2014,0.984,6
10,I,2015,0.992,6
10,I,2016,0.99,6
10,I,2017,0.995,6
10,I,2018,0.994,6
10,I,2019,0.994,6
11,I,2009,1,6
11,I,2010,1,6
11,I,2011,1,6
