CODE,GUBUN,YEAR,UNITY_INDEX
0,I,2009,0.638
0,I,2010,0.65
0,I,2011,0.596
0,I,2012,0.617
0,I,2013,0.599
0,I,2014,0.669
0,I,2015,0.648
0,I,2016,0.671
0,I,2017,0.658
0,I,2018,0.642
0,I,2019,0.634
1,I,2009,0.497
1,I,2010,0.476
1,I,2011,0.509
1,I,2012,0.508
1,I,2013,0.544
1,I,2014,0.68
1,I,2015,0.678
1,I,2016,0.709
1,I,2017,0.758
1,I,2018,0.736
1,I,2019,0.738
2,I,2009,0.163
2,I,2010,0.158
2,I,2011,0.08
2,I,2012,0.112
2,I,2013,0.106
2,I,2014,0.168
2,I,2015,0.236
2,I,2016,0.25
2,I,2017,0.239
2,I,2018,0.204
2,I,2019,0.228
3,I,2009,0.564
3,I,2010,0.599
3,I,2011,0.539
3,I,2012,0.569
3,I,2013,0.558
3,I,2014,0.72
3,I,2015,0.669
3,I,2016,0.699
3,I,2017,0.682
3,I,2018,0.681
3,I,2019,0.658
4,I,2009,0.494
4,I,2010,0.514
4,I,2011,0.528
4,I,2012,0.634
4,I,2013,0.624
4,I,2014,0.678
4,I,2015,0.7
4,I,2016,0.706
4,I,2017,0.768
4,I,2018,0.706
4,I,2019,0.732
5,I,2009,0.712
5,I,2010,0.693
5,I,2011,0.652
5,I,2012,0.626
5,I,2013,0.638
5,I,2014,0.769
5,I,2015,0.792
5,I,2016,0.776
5,I,2017,0.81
5,I,2018,0.758
5,I,2019,0.739
6,I,2009,0.676
6,I,2010,0.654
6,I,2011,0.584
6,I,2012,0.658
6,I,2013,0.654
6,I,2014,0.721
6,I,2015,0.76
6,I,2016,0.748
6,I,2017,0.727
6,I,2018,0.738
6,I,2019,0.734
7,I,2009,0.64
7,I,2010,0.62
7,I,2011,0.593
7,I,2012,0.614
7,I,2013,0.604
7,I,2014,0.672
7,I,2015,0.664
7,I,2016,0.702
7,I,2017,0.69
7,I,2018,0.674
7,I,2019,0.66
8,I,2009,0.981
8,I,2010,0.982
8,I,2011,0.984
8,I,2012,0.981
8,I,2013,0.982
8,I,2014,0.987
8,I,2015,0.989
8,I,2016,0.99
8,I,2017,0.992
8,I,2018,0.991
8,I,2019,0.992
9,I,2009,0.745
9,I,2010,0.745
9,I,2011,0.718
9,I,2012,0.772
9,I,2013,0.744
9,I,2014,0.829
9,I,2015,0.832
9,I,2016,0.862
9,I,2017,0.861
9,I,2018,0.869
9,I,2019,0.876
10,I,2009,0.647
10,I,2010,0.68
10,I,2011,0.689
10,I,2012,0.705
10,I,2013,0.686
10,I,2014,0.733
10,I,2015,0.708
10,I,2016,0.73
10,I,2017,0.734
10,I,2018,0.714
10,I,2019,0.742
11,I,2009,0.615
11,I,2010,0.645
11,I,2011,0.614
11,I,2012,0.666
11,I,2013,0.632
11,I,2014,0.692
11,I,2015,0.684
11,I,2016,0.704
11,I,2017,0.716
11,I,2018,0.722
11,I,2019,0.71
12,I,2009,0.752
12,I,2010,0.748
12,I,2011,0.668
12,I,2012,0.704
12,I,2013,0.682
12,I,2014,0.68
12,I,2015,0.65
12,I,2016,0.681
12,I,2017,0.714
12,I,2018,0.726
12,I,2019,0.709
13,I,2009,0.637
13,I,2010,0.666
13,I,2011,0.582
13,I,2012,0.654
13,I,2013,0.628
13,I,2014,0.711
13,I,2015,0.7
13,I,2016,0.709
13,I,2017,0.718
13,I,2018,0.694
13,I,2019,0.668
14,I,2009,0.578
14,I,2010,0.658
14,I,2011,0.678
14,I,2012,0.728
14,I,2013,0.704
14,I,2014,0.692
14,I,2015,0.66
14,I,2016,0.69
14,I,2017,0.677
14,I,2018,0.626
14,I,2019,0.652
15,I,2009,0.491
15,I,2010,0.488
15,I,2011,0.507
15,I,2012,0.563
15,I,2013,0.546
15,I,2014,0.616
15,I,2015,0.59
15,I,2016,0.633
15,I,2017,0.644
15,I,2018,0.62
15,I,2019,0.564
16,I,2009,0.551
16,I,2010,0.536
16,I,2011,0.494
16,I,2012,0.494
16,I,2013,0.494
16,I,2014,0.556
16,I,2015,0.537
16,I,2016,0.544
16,I,2017,0.498
16,I,2018,0.498
16,I,2019,0.498
17,I,2009,0.603
17,I,2010,0.611
17,I,2011,0.61
17,I,2012,0.672
17,I,2013,0.629
17,I,2014,0.728
17,I,2015,0.724
17,I,2016,0.767
17,I,2017,0.768
17,I,2018,0.76
17,I,2019,0.763
18,I,2009,0.656
18,I,2010,0.672
18,I,2011,0.529
18,I,2012,0.522
18,I,2013,0.495
18,I,2014,0.488
18,I,2015,0.491
18,I,2016,0.492
18,I,2017,0.526
18,I,2018,0.518
18,I,2019,0.51
