CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
0,C,2008,0.343666667,1
0,C,2009,0.348666667,1
0,C,2010,0.436,1
0,C,2011,0.432666667,1
0,C,2012,0.384666667,1
0,C,2013,0.4,1
0,C,2014,0.400666667,1
0,C,2015,0.379,1
0,C,2016,0.374333333,1
0,C,2017,0.319,1
0,C,2018,0.392666667,1
0,C,2019,0.343333333,1
1,C,2008,0.268333333,1
1,C,2009,0.243333333,1
1,C,2010,0.374666667,1
1,C,2011,0.381666667,1
1,C,2012,0.316666667,1
1,C,2013,0.307,1
1,C,2014,0.309666667,1
1,C,2015,0.298666667,1
1,C,2016,0.291,1
1,C,2017,0.204,1
1,C,2018,0.230666667,1
1,C,2019,0.213,1
2,C,2008,0.015,1
2,C,2009,0.023,1
2,C,2010,0.145666667,1
2,C,2011,0.122333333,1
2,C,2012,0.077,1
2,C,2013,0.069666667,1
2,C,2014,0.121,1
2,C,2015,0.091,1
2,C,2016,0.119,1
2,C,2017,0,1
2,C,2018,0.083333333,1
2,C,2019,0.101333333,1
3,C,2008,0.093,1
3,C,2009,0.146,1
3,C,2010,0.29,1
3,C,2011,0.254,1
3,C,2012,0.295333333,1
3,C,2013,0.250333333,1
3,C,2014,0.250666667,1
3,C,2015,0.323333333,1
3,C,2016,0.266333333,1
3,C,2017,0.186,1
3,C,2018,0.193,1
3,C,2019,0.18,1
4,C,2008,0.224666667,1
4,C,2009,0.284666667,1
4,C,2010,0.378666667,1
4,C,2011,0.405,1
4,C,2012,0.400333333,1
4,C,2013,0.376333333,1
4,C,2014,0.331333333,1
4,C,2015,0.302333333,1
4,C,2016,0.315666667,1
4,C,2017,0.266333333,1
4,C,2018,0.465333333,1
4,C,2019,0.365,1
5,C,2008,0.075333333,1
5,C,2009,0.194666667,1
5,C,2010,0.326,1
5,C,2011,0.295666667,1
5,C,2012,0.215333333,1
5,C,2013,0.267,1
5,C,2014,0.360666667,1
5,C,2015,0.32,1
5,C,2016,0.300666667,1
5,C,2017,0.316666667,1
5,C,2018,0.318666667,1
5,C,2019,0.258666667,1
6,C,2008,0.134333333,1
6,C,2009,0.222666667,1
6,C,2010,0.276333333,1
6,C,2011,0.268333333,1
6,C,2012,0.186666667,1
6,C,2013,0.260666667,1
6,C,2014,0.319,1
6,C,2015,0.341666667,1
6,C,2016,0.378,1
6,C,2017,0.257333333,1
6,C,2018,0.241333333,1
6,C,2019,0.227333333,1
7,C,2008,0.346666667,1
7,C,2009,0.294666667,1
7,C,2010,0.466333333,1
7,C,2011,0.528333333,1
7,C,2012,0.447,1
7,C,2013,0.473,1
7,C,2014,0.337333333,1
7,C,2015,0.348666667,1
7,C,2016,0.278333333,1
7,C,2017,0.288333333,1
7,C,2018,0.215666667,1
7,C,2019,0.186666667,1
8,C,2017,0.488666667,1
8,C,2018,0.603,1
8,C,2019,0.578,1
9,C,2008,0.384666667,1
9,C,2009,0.350333333,1
9,C,2010,0.434,1
9,C,2011,0.439,1
9,C,2012,0.386333333,1
9,C,2013,0.440666667,1
9,C,2014,0.493666667,1
9,C,2015,0.423666667,1
9,C,2016,0.413333333,1
9,C,2017,0.359,1
9,C,2018,0.463666667,1
9,C,2019,0.401666667,1
10,C,2008,0.425,1
10,C,2009,0.424666667,1
10,C,2010,0.342,1
10,C,2011,0.355666667,1
10,C,2012,0.267,1
10,C,2013,0.267333333,1
10,C,2014,0.204,1
10,C,2015,0.258333333,1
10,C,2016,0.339,1
10,C,2017,0.444666667,1
10,C,2018,0.483,1
10,C,2019,0.451333333,1
11,C,2008,0.44,1
11,C,2009,0.512,1
11,C,2010,0.600666667,1
11,C,2011,0.540333333,1
11,C,2012,0.438666667,1
11,C,2013,0.549333333,1
11,C,2014,0.55,1
11,C,2015,0.568,1
11,C,2016,0.562333333,1
11,C,2017,0.565666667,1
11,C,2018,0.678666667,1
11,C,2019,0.549666667,1
12,C,2008,0.564,1
12,C,2009,0.477,1
12,C,2010,0.582,1
12,C,2011,0.628,1
12,C,2012,0.590666667,1
12,C,2013,0.626333333,1
12,C,2014,0.545666667,1
12,C,2015,0.49,1
12,C,2016,0.483333333,1
12,C,2017,0.487,1
12,C,2018,0.620666667,1
12,C,2019,0.622333333,1
13,C,2008,0.404666667,1
13,C,2009,0.449333333,1
13,C,2010,0.441,1
13,C,2011,0.429666667,1
13,C,2012,0.354333333,1
13,C,2013,0.458,1
13,C,2014,0.358666667,1
13,C,2015,0.457666667,1
13,C,2016,0.500666667,1
13,C,2017,0.339666667,1
13,C,2018,0.369666667,1
13,C,2019,0.388666667,1
14,C,2008,0.727666667,1
14,C,2009,0.833333333,1
14,C,2010,0.79,1
14,C,2011,0.745,1
14,C,2012,0.762,1
14,C,2013,0.711666667,1
14,C,2014,0.572,1
